forme_erronée	forme_correcte
acceuil	accueil
apartheid	apartheid
apparament	apparemment
aréoport	aéroport
ballade	balade
bienséance	bienséance
carousel	carrousel
celà	cela
comfirmation	confirmation
commémoration	commémoration
definitivement	définitivement
dependance	dépendance
desintéressé	désintéressé
deterioration	détérioration
developpement	développement
difamation	diffamation
dilemne	dilemme
dysfonctionnement	disfonctionnement
disgression	digression
disipation	dissipation
disparaitre	disparaître
dévelloper	développer
dévelopement	développement
echapper	échapper
ecriture	écriture
eficace	efficace
elargissement	élargissement
embaras	embarras
emerveillement	émerveillement
emettre	émettre
enbarras	embarras
enlevement	enlèvement
enquete	enquête
entretient	entretien
enui	ennui
eparpiller	éparpiller
epidemie	épidémie
equipement	équipement
equivaut	équivaut
essensiel	essentiel
etablissement	établissement
etant	étant
etat	état
etre	être
evacuation	évacuation
evenement	événement
evidence	évidence
eviter	éviter
exageration	exagération
exaustif	exhaustif
excelent	excellent
exceptionel	exceptionnel
excercise	exercice
excitation	excitation
execution	exécution
existance	existence
expedition	expédition
experiance	expérience
expres	exprès
extravagent	extravagant
fainéant	fainéant
fatalité	fatalité
fevrier	février
grennouille	grenouille
heritage	héritage
hormi	hormis
impérméable	imperméable
infractus	infarctus
innacceptable	inacceptable
innitiative	initiative
intérréssant	intéressant
kaleidoscope	kaléidoscope
labyrinte	labyrinthe
lontemps	longtemps
malgrés	malgré
manifique	magnifique
mieu	mieux
moin	moins
necessaire	nécessaire
ortografe	orthographe
parmis	parmi
persone	personne
plutot	plutôt
proffesseur	professeur
préssentiment	pressentiment
quelquefois	quelquefois
rallonge	rallonge
réecrire	réécrire
réflection	réflexion
résponsable	responsable
rêglement	règlement
s'éloigner	s'éloigner
sallade	salade
salluer	saluer
setième	septième
seulment	seulement
siaige	siège
soisantaine	soixantaine
souaiter	souhaiter
soudaint	soudain
soufrir	souffrir
special	spécial
statu	statut
stupefait	stupéfait
subitment	subitement
suceptible	susceptible
sufisament	suffisamment
sugérer	suggérer
suporter	supporter
sûrment	sûrement
tablau	tableau
talant	talent
tandre	tendre
temoignage	témoignage
tempete	tempête
tendence	tendance
tention	tension
teritoire	territoire
toujour	toujours
vraisenblable	vraisemblable
éfforcer	efforcer
évenement	événement
éxité	excité
éxtention	extension
